ngram,Hop,Hopr,Hopd,Hopx,Hozp,Hopn
1989,5.914255163068966e-07,2.1185733078569032e-10,5.523656631296297e-11,7.529138027325847e-11,5.567860458402915e-11,1.6009588942243547e-10
1990,5.808868844984058e-07,2.2368216852165978e-10,6.780644746081802e-11,8.860630483299912e-11,6.824848573188419e-11,1.7932323285016087e-10
1991,6.158779959670418e-07,1.8881051930264015e-10,6.702512255525e-11,8.78249799274311e-11,5.354729903531538e-11,1.8432985098610592e-10
1992,6.318716145869985e-07,2.5156225515386513e-10,7.338746872103436e-11,9.244386754108419e-11,5.990964520109974e-11,1.4815947476812648e-10
1993,6.39990348970189e-07,2.819002690010056e-10,6.647891364381614e-11,9.841803116520228e-11,6.63510045517679e-11,1.5273205121259436e-10
1994,6.752930679405316e-07,3.658879449419672e-10,5.979144609979947e-11,9.841803116520228e-11,5.966353700775124e-11,1.388041051145602e-10
1995,7.189968625555463e-07,4.5258639494846365e-10,6.563429908695057e-11,1.1119229396354996e-10,5.91192585957285e-11,1.3078413847931814e-10
1996,7.44168119126698e-07,4.574885430803326e-10,1.3390681569532984e-10,7.723229050341348e-11,3.916322375523735e-11,1.3603626062920681e-10
1997,7.789835438286121e-07,5.113940342622264e-10,1.1968695330457002e-10,6.966989039252397e-11,2.4943361364477515e-11,1.1515893595857664e-10
1998,8.063728955676197e-07,5.116314554560424e-10,3.4422917988274904e-10,6.310062194980759e-11,3.072114883912696e-11,1.0700670607536163e-10
1999,8.477200107595959e-07,5.28417551778507e-10,3.975225188706284e-10,5.48600728337131e-11,2.9782046868336614e-11,1.341229280416023e-10
2000,9.016008480752394e-07,5.223696118518615e-10,3.975225188706284e-10,4.197735413237678e-11,2.3340687517668458e-11,1.1749341876405543e-10
2001,9.635538244115845e-07,5.045219440637436e-10,4.43159088790525e-10,4.197735413237678e-11,3.3482147610008894e-11,1.1319621926305804e-10
2002,1.0163196455843199e-06,4.207463227030266e-10,5.1628168704473e-10,2.9203091334029097e-11,3.246357002661959e-11,1.1652761791206397e-10
2003,1.106718652213853e-06,3.9439426476645904e-10,6.446949036128683e-10,1.6599012838839198e-11,3.246357002661959e-11,9.64775982318208e-11
2004,1.168703339057434e-06,3.23952016501832e-10,6.59128563237513e-10,1.0846488389988045e-11,3.1757591596142425e-11,9.072507378296964e-11
2005,1.2473184207400273e-06,2.826983101976234e-10,4.777030021552164e-10,3.568945535928744e-11,4.585417809344072e-11,8.910668581964463e-11
2006,1.2921212178948086e-06,2.2680583700822917e-10,4.746596112191272e-10,4.0282683934554446e-11,5.587065086370175e-11,6.713703600994388e-11
2007,1.3192202784141825e-06,1.748815427788613e-10,4.96128255541731e-10,4.5649845015205415e-11,1.52479546350337e-10,5.155974853414997e-11
2008,1.3377383376272128e-06,9.397021206804444e-11,7.415010609492154e-10,6.681416332897174e-11,1.793756418201818e-10,3.634755790000404e-11
2009,1.3365631243037309e-06,5.639033634882321e-11,6.680502371530267e-10,4.567899927357796e-10,1.7815576717245778e-10,2.0241896452650413e-11
2010,1.314427078926071e-06,5.123219903868659e-11,4.5140846913601807e-10,5.05916746987697e-10,2.0681304015565275e-10,3.145934356272941e-11
2011,1.334384868252008e-06,4.1139107001938615e-11,4.3122228506252217e-10,6.776854414937614e-10,2.0176649413727876e-10,3.145934356272941e-11
2012,1.339582906569246e-06,3.617051350895168e-11,3.9755592369715234e-10,1.106730354186577e-09,1.8189212016533103e-10,2.1522156576755538e-11
2013,1.3855498569422968e-06,5.29107957844158e-12,3.5164567488025055e-10,1.20366211442402e-09,1.6645240320007597e-10,1.6375584420215615e-11
2014,1.389888568935151e-06,5.29107957844158e-12,3.4576428030254544e-10,1.2918184518127619e-09,6.984350771344072e-11,1.6375584420215615e-11
2015,1.3898076401476698e-06,0.0,6.018557626481197e-11,1.4227129276265872e-09,3.28059521512555e-11,1.6375584420215615e-11
2016,1.4129691732835324e-06,6.25848579310124e-12,7.903196797395421e-11,1.126614385116298e-09,2.8657272983194967e-11,1.6375584420215615e-11
2017,1.4314520626612648e-06,7.301566758618113e-12,9.22039626362799e-11,1.2570689026751107e-09,0.0,0.0
2018,1.4325377378554548e-06,8.761880110341735e-12,1.1064475516353589e-10,1.2680065109016426e-09,0.0,0.0
2019,1.4099670408995735e-06,1.095235013792717e-11,1.1027169195126918e-10,7.907043492183519e-10,0.0,0.0
