ngram,Qi,Qip,Qit,Qia,Qik,Qei,Qui
1918,1.1147541251992671e-07,6.605449520691309e-10,1.6094336260533533e-09,1.8490365429256273e-09,3.9775008287001867e-10,4.753989483820473e-10,4.424669108565078e-07
1919,1.1462756280674771e-07,6.601282298568378e-10,1.735410101336551e-09,2.3715237392910436e-09,4.3995059777796845e-10,3.452552569235426e-10,4.382805229852238e-07
1920,1.2458876495559578e-07,6.77935701623841e-10,1.6172574866603539e-09,2.2943802730728588e-09,3.827589217797467e-10,2.0227607287561155e-10,4.585097152747559e-07
1921,1.287434037473239e-07,7.184210587540818e-10,1.6071651469979592e-09,2.2224578685329075e-09,3.6477832064475887e-10,2.2926631030159176e-10,4.885061944800587e-07
1922,1.4260051476152773e-07,7.106949096684951e-10,1.746292491563598e-09,2.747519481768482e-09,3.4932602247358547e-10,2.374788837800068e-10,5.264674679697887e-07
1923,1.565063730676489e-07,8.904716269908519e-10,1.7604987150627543e-09,2.9391500979057484e-09,3.136720169319826e-10,3.5469582231646106e-10,5.540297455094592e-07
1924,1.7025371436472726e-07,6.948773322618911e-10,1.882384327776622e-09,2.9214523498767774e-09,3.345836088345219e-10,3.825532688247638e-10,5.915240300120266e-07
1925,1.856533304232601e-07,6.430956342847896e-10,1.948498140613708e-09,3.1802325217711314e-09,3.2307300287407314e-10,3.998031409903545e-10,6.154550240872985e-07
1926,1.9241145058198787e-07,7.292989585255022e-10,1.990793212820157e-09,2.7853781503495156e-09,2.749672354886355e-10,4.6308350011768443e-10,6.605853286600905e-07
1927,2.0282329517483178e-07,7.511107807151823e-10,2.0562286952495258e-09,2.9403773067165115e-09,3.4318236744442944e-10,4.858218787579765e-10,6.583564170016741e-07
1928,2.1677936956621124e-07,7.580139016472032e-10,2.0541285656554872e-09,2.8539423522845807e-09,3.04466515491494e-10,4.524081486418601e-10,6.416108330345846e-07
1929,2.233190120445475e-07,8.602915919324922e-10,1.919431296444023e-09,2.456984361996563e-09,3.8259290973436626e-10,4.788284471305257e-10,6.326212655949348e-07
1930,2.313448297692438e-07,6.174310963296443e-10,2.1394364851141337e-09,2.5568962820037608e-09,6.303133828370175e-10,3.587351764850715e-10,6.320943352225836e-07
1931,2.3088181982140149e-07,5.459779850447433e-10,2.1439986135669234e-09,2.4755134926073605e-09,1.0536645108004196e-09,3.135150750122051e-10,6.20931384024256e-07
