ngram,construction,constructin,constructon,constructio
1924,0.00016960678788434182,1.1411075576514155e-08,2.4940770718525788e-08,1.8503079957099544e-08
1925,0.00016962639762953456,9.757219730589993e-09,2.4158017300887228e-08,1.8496939852801527e-08
1926,0.0001706545049923339,8.301456347733653e-09,2.3159746628412644e-08,1.8944104697636377e-08
1927,0.0001729388438564326,8.189655366562322e-09,2.322529571837809e-08,1.9995705155143436e-08
1928,0.00017400142054871788,7.98237342891639e-09,2.262245476661714e-08,2.064888349195826e-08
1929,0.0001737871768585007,7.95416507263066e-09,2.1856247859172332e-08,2.0996712939742272e-08
1930,0.00017227590433321893,7.175012964718722e-09,1.992866620932026e-08,2.0662665483379376e-08
1931,0.00016943390905258378,7.3316055448913175e-09,1.9356369713412798e-08,2.0692788942661925e-08
1932,0.0001668950530334509,7.380771612933554e-09,1.8220079159699968e-08,2.1077357510128943e-08
1933,0.00016439956380054355,6.930370816909155e-09,1.734390992729524e-08,2.0783053500395e-08
1934,0.0001620521195166345,6.73953718230028e-09,1.593035925395725e-08,2.0522127235673386e-08
1935,0.00016077545920519957,5.996129148755358e-09,1.5527153150531248e-08,2.069259151328749e-08
1936,0.00016189692957725908,5.910292667975016e-09,1.5738637314046044e-08,2.1637212402733245e-08
1937,0.00016386769129894674,5.946282736043632e-09,1.6240663417274196e-08,2.185658739709392e-08
1938,0.00016841829554843052,6.044699375960607e-09,1.5892387342627704e-08,2.2381579002837626e-08
1939,0.00017106674204114825,5.896829151958676e-09,1.5785914543796154e-08,2.2972382091828488e-08
1940,0.00017264607387395308,5.622384875130544e-09,1.6648244941360905e-08,2.4238771244102153e-08
1941,0.0001755332133533167,5.956509285809375e-09,1.6790571726638907e-08,2.6030797327182753e-08
1942,0.00017802865893047835,6.29226918188611e-09,1.771749502665898e-08,2.7943038613135026e-08
1943,0.00018015614270033048,6.679159130535644e-09,1.8401548729229944e-08,2.8402669422738265e-08
1944,0.0001818857978962894,6.983597953892838e-09,1.8242058022873867e-08,2.9235671915119254e-08
1945,0.00018162467832943157,6.767089238175166e-09,1.9405679349152446e-08,2.9890549971664116e-08
1946,0.00018354062714414404,7.054309390598843e-09,2.0119412929326634e-08,2.9358432383576527e-08
1947,0.00018403298495936075,7.673554744006391e-09,1.970172977142478e-08,2.9408041208560983e-08
1948,0.00018494339851063808,7.230690459079727e-09,1.9392451327299957e-08,2.922469885139175e-08
1949,0.0001854055922844314,7.200112696535501e-09,1.846724348045622e-08,2.843450757390136e-08
1950,0.00018529459859044955,6.961951586654485e-09,1.7250335128591943e-08,2.8961501895098862e-08
1951,0.00018653325969353318,6.7810977150933076e-09,1.723332955703784e-08,2.9491786536693454e-08
1952,0.00018849647520775243,6.460984889957087e-09,1.589091842240415e-08,3.0120921629921734e-08
1953,0.00018883115470608964,6.576022266407173e-09,1.5712673701833476e-08,3.296577563308542e-08
1954,0.00019165366705107902,6.4683058909054125e-09,1.633485537309655e-08,3.398740260658022e-08
1955,0.00019253028273981596,7.661881668801535e-09,1.656105868314788e-08,3.410041493623339e-08
1956,0.00019359293634936745,7.734474267400465e-09,1.6483909475490625e-08,3.437834702627437e-08
1957,0.000193252569131021,7.552009176744638e-09,1.6594243312795243e-08,3.3553507908631475e-08
1958,0.00019083229043254896,7.289720826975099e-09,1.6120676983786908e-08,3.2763705653288914e-08
1959,0.00018695804672980948,7.650601168458188e-09,1.629852735313924e-08,3.2729821392812094e-08
1960,0.0001834489417628252,7.411511848687269e-09,1.581755767635481e-08,3.085087994593648e-08
1961,0.00017962801627748246,7.152778433042581e-09,1.5434451304331886e-08,3.02876616485394e-08
1962,0.00017640911599820747,6.4486957995768535e-09,1.5509550088665947e-08,2.9319958524557218e-08
1963,0.00017249254493175874,6.371923623658761e-09,1.499713217104467e-08,2.881725156912905e-08
1964,0.000170040106500632,6.4586411139901296e-09,1.552421442190572e-08,2.9209700055535644e-08
1965,0.00016691508062649518,6.987459182689853e-09,1.5955031708512835e-08,2.8699684406774395e-08
1966,0.00016481870053602115,6.561511017062165e-09,1.580916210640128e-08,2.772337610273163e-08
1967,0.00016283983131870627,6.187122814083068e-09,1.601786931664557e-08,2.681195912909321e-08
1968,0.00016165068830429976,6.524753372514982e-09,1.6096206145732594e-08,2.609037481298466e-08
1969,0.00016070434607432356,6.16559552619427e-09,1.595036420403468e-08,2.9220191472794406e-08
1970,0.0001606834141836901,6.204121660857709e-09,1.639316187557987e-08,2.8689795682014718e-08
1971,0.00016075450860496079,5.931099230796885e-09,1.595117739481923e-08,2.9098658213147895e-08
1972,0.00016368735149236663,5.5142399852619354e-09,1.5814171305805758e-08,3.1623219852251946e-08
1973,0.0001662833445672212,5.5619170856248596e-09,1.567225143312661e-08,3.3508821368449e-08
1974,0.00016865420911926776,5.8152695357551105e-09,1.556618618130707e-08,3.9955564190563564e-08
1975,0.00016939963097684085,5.513283417103918e-09,1.548089821414221e-08,4.177033880686005e-08
1976,0.0001695801952986845,5.393162614909995e-09,1.5580921061289895e-08,4.0975144039683594e-08
1977,0.0001688934093441016,5.192659572169792e-09,1.5445534248418165e-08,4.191411966709373e-08
1978,0.0001682222043330382,5.377343586283294e-09,1.5653164732652514e-08,4.126825865163093e-08
1979,0.00016541666367889514,5.526600383681008e-09,1.5635026606730662e-08,3.946833107956341e-08
1980,0.0001618312214434679,5.8412861214662826e-09,1.608053905905698e-08,3.813528743583967e-08
1981,0.00015835386459782188,5.9542650175460815e-09,1.6149733994552662e-08,3.1993174078235957e-08
1982,0.00015519575390499085,5.879845055289934e-09,1.6242376332797903e-08,3.01801088247495e-08
