ngram,football,fotball,footbal,foootball
1614,2.9108625605139035e-07,0.0,0.0,0.0
1615,2.9108625605139035e-07,0.0,0.0,0.0
1616,1.0241227853059951e-07,0.0,0.0,0.0
1617,1.0241227853059951e-07,0.0,0.0,0.0
1618,0.0,0.0,0.0,0.0
1619,0.0,0.0,0.0,0.0
1620,0.0,0.0,0.0,0.0
1621,0.0,0.0,0.0,0.0
1622,0.0,0.0,0.0,0.0
1623,2.6941419101993755e-07,0.0,0.0,0.0
1624,2.6941419101993755e-07,0.0,0.0,0.0
1625,2.6941419101993755e-07,0.0,0.0,0.0
1626,2.6941419101993755e-07,0.0,0.0,0.0
1627,2.6941419101993755e-07,0.0,0.0,0.0
1628,2.6941419101993755e-07,0.0,0.0,0.0
1629,5.170022307408675e-07,0.0,0.0,0.0
1630,2.475880397209299e-07,0.0,0.0,0.0
1631,3.609480115431195e-07,0.0,0.0,0.0
1632,3.609480115431195e-07,0.0,0.0,0.0
1633,6.351336066602795e-07,0.0,0.0,0.0
1634,6.351336066602795e-07,0.0,0.0,0.0
1635,6.351336066602795e-07,0.0,0.0,0.0
1636,3.875455669393497e-07,0.0,0.0,0.0
1637,3.875455669393497e-07,0.0,0.0,0.0
1638,2.741855951171601e-07,0.0,0.0,0.0
1639,2.741855951171601e-07,0.0,0.0,0.0
1640,1.028080548946621e-07,0.0,0.0,0.0
1641,1.028080548946621e-07,0.0,0.0,0.0
1642,3.187077238310719e-07,0.0,0.0,0.0
1643,3.187077238310719e-07,0.0,0.0,0.0
1644,3.187077238310719e-07,0.0,0.0,0.0
1645,3.187077238310719e-07,0.0,0.0,0.0
1646,3.187077238310719e-07,0.0,0.0,0.0
1647,2.1589966893640978e-07,0.0,0.0,0.0
1648,2.1589966893640978e-07,0.0,0.0,0.0
1649,0.0,0.0,0.0,0.0
1650,0.0,0.0,0.0,0.0
1651,0.0,0.0,0.0,0.0
1652,0.0,0.0,0.0,0.0
1653,0.0,0.0,0.0,0.0
1654,0.0,0.0,0.0,0.0
1655,0.0,0.0,0.0,0.0
1656,0.0,0.0,4.530733122010133e-08,0.0
1657,2.7804432534139778e-08,0.0,4.530733122010133e-08,0.0
1658,2.7804432534139778e-08,0.0,9.892296556504984e-08,0.0
1659,5.997161776706759e-08,3.2167185232927816e-08,9.892296556504984e-08,0.0
1660,5.997161776706759e-08,3.2167185232927816e-08,9.892296556504984e-08,0.0
1661,5.997161776706759e-08,3.2167185232927816e-08,9.892296556504984e-08,0.0
1662,1.0057147749518793e-07,3.2167185232927816e-08,9.892296556504984e-08,0.0
1663,1.0057147749518793e-07,3.2167185232927816e-08,1.1931061294490064e-07,0.0
1664,7.276704496104815e-08,3.2167185232927816e-08,1.1931061294490064e-07,0.0
1665,7.276704496104815e-08,3.2167185232927816e-08,6.569497859995213e-08,0.0
1666,4.059985972812033e-08,0.0,6.569497859995213e-08,0.0
1667,7.305217561029817e-08,0.0,6.569497859995213e-08,0.0
1668,7.305217561029817e-08,0.0,6.569497859995213e-08,0.0
1669,6.24064081681094e-08,0.0,6.569497859995213e-08,0.0
1670,6.24064081681094e-08,0.0,0.0,0.0
1671,6.24064081681094e-08,0.0,0.0,0.0
1672,1.1160761102603698e-07,0.0,0.0,0.0
1673,1.1160761102603698e-07,0.0,0.0,0.0
