ngram,income,icome,inome,inome
1960,0.0001930647059842678,1.2148412434750559e-08,1.0043067837679181e-08,1.0043067837679181e-08
1961,0.00019136018610359834,1.1823225065654697e-08,9.668434941545456e-09,9.668434941545456e-09
1962,0.00018947055962468897,1.2029717920216041e-08,9.411556232765049e-09,9.411556232765049e-09
1963,0.00018876759194037213,1.1567986695532845e-08,9.183102913011356e-09,9.183102913011356e-09
1964,0.00018789201567415148,1.1322409676495226e-08,8.839480258870935e-09,8.839480258870935e-09
1965,0.00018515486902158176,1.1400681414792352e-08,8.543570739760753e-09,8.543570739760753e-09
1966,0.000187922572617286,1.1216497952659665e-08,8.218457977652146e-09,8.218457977652146e-09
1967,0.00018925623070182546,1.1325011531734423e-08,8.401928359396443e-09,8.401928359396443e-09
1968,0.00019148620153178593,1.2130541396767773e-08,8.377901483669348e-09,8.377901483669348e-09
1969,0.00019455939348387931,1.1852948083352593e-08,8.324763291410266e-09,8.324763291410266e-09
1970,0.00019748757144303193,1.2061848282079218e-08,8.209583679530397e-09,8.209583679530397e-09
1971,0.00020122096715827605,1.1963942217870941e-08,8.239916495154733e-09,8.239916495154733e-09
1972,0.00020873387360812297,1.2272954208469855e-08,8.590888381628962e-09,8.590888381628962e-09
1973,0.00021165552191502814,1.2460350973242384e-08,8.760190414339571e-09,8.760190414339571e-09
1974,0.0002173646415550528,1.2439642458973919e-08,8.639100482607124e-09,8.639100482607124e-09
1975,0.00022298773858762746,1.198825673652339e-08,8.581038609837118e-09,8.581038609837118e-09
1976,0.00022559615899808705,1.211102266093381e-08,8.526405105767156e-09,8.526405105767156e-09
1977,0.0002258487553003111,1.2307538734189296e-08,8.638636726589409e-09,8.638636726589409e-09
1978,0.0002260542117125754,1.2142516071987432e-08,8.484477818728107e-09,8.484477818728107e-09
1979,0.00022461813516981368,1.184050622628417e-08,7.87289820637836e-09,7.87289820637836e-09
1980,0.00022574671934957484,1.2396751181142918e-08,7.775205051225548e-09,7.775205051225548e-09
1981,0.0002220148328758244,1.2603307730785218e-08,7.455330828877647e-09,7.455330828877647e-09
1982,0.0002161842941339793,1.3203193586061194e-08,7.011363807001609e-09,7.011363807001609e-09
1983,0.00021487239116270627,1.330228714481661e-08,6.749820892691462e-09,6.749820892691462e-09
1984,0.00021271943114697933,1.2968999842298347e-08,6.512841884845752e-09,6.512841884845752e-09
1985,0.00021277989019706313,1.3281474079259884e-08,6.445897022493747e-09,6.445897022493747e-09
1986,0.00020895455963909626,1.3264814389758937e-08,6.721427478087857e-09,6.721427478087857e-09
1987,0.00020327774940856865,1.2444464379614471e-08,6.0952163950998644e-09,6.0952163950998644e-09
