ngram,soup,sop,sup,soup
1893,4.04800243813952e-06,3.6621560184357804e-07,5.2384057198651135e-06,4.04800243813952e-06
1894,4.012937129768293e-06,3.599910931890398e-07,5.331286307149899e-06,4.012937129768293e-06
1895,4.022668917968986e-06,3.5775332207776955e-07,5.352952224971627e-06,4.022668917968986e-06
1896,4.009422322529385e-06,3.586017710079302e-07,5.306965574293697e-06,4.009422322529385e-06
1897,4.08265223735985e-06,3.5919336888972406e-07,5.377658648545289e-06,4.08265223735985e-06
1898,4.062713482458743e-06,3.574584468424291e-07,5.448268179212132e-06,4.062713482458743e-06
1899,4.008218898629171e-06,3.5982960509630046e-07,5.5266807196728355e-06,4.008218898629171e-06
1900,3.962528158548853e-06,3.6014666956621764e-07,5.8901286398135455e-06,3.962528158548853e-06
1901,4.060452186292553e-06,3.6035748962603975e-07,5.7471275535395506e-06,4.060452186292553e-06
1902,4.001875205566259e-06,3.63731946403537e-07,5.759612057382972e-06,4.001875205566259e-06
1903,3.914161620092013e-06,3.650818476736666e-07,5.7197151883363925e-06,3.914161620092013e-06
1904,3.7837852947372345e-06,3.6031076433573617e-07,5.625056538909641e-06,3.7837852947372345e-06
1905,3.7180797919843045e-06,3.785652933986837e-07,5.631744897982571e-06,3.7180797919843045e-06
1906,3.6560028482719124e-06,3.8076308328527375e-07,5.530387690149448e-06,3.6560028482719124e-06
1907,3.5779577436707247e-06,3.8260060770361246e-07,5.095953058896287e-06,3.5779577436707247e-06
1908,3.47063022283172e-06,3.8367097334100565e-07,5.054391294834204e-06,3.47063022283172e-06
1909,3.4561562642920762e-06,3.794725224841906e-07,4.911158287411256e-06,3.4561562642920762e-06
1910,3.4000395641799386e-06,3.7107495895075513e-07,4.869435607750867e-06,3.4000395641799386e-06
1911,3.4082752011142603e-06,3.648052232360247e-07,4.739005882064313e-06,3.4082752011142603e-06
1912,3.466917990278619e-06,3.3333039693518784e-07,4.52796965484075e-06,3.466917990278619e-06
1913,3.5439316304421354e-06,3.240332010331518e-07,4.366121629573172e-06,3.5439316304421354e-06
1914,3.7271432964709154e-06,3.146663029188598e-07,4.300929763953068e-06,3.7271432964709154e-06
1915,3.872425785240401e-06,3.0215248005203777e-07,4.1613998291722964e-06,3.872425785240401e-06
1916,3.930265295691372e-06,2.971220404950665e-07,4.0867678632951406e-06,3.930265295691372e-06
1917,3.99196749510468e-06,2.994915949524771e-07,3.976039092127134e-06,3.99196749510468e-06
1918,3.949485679705893e-06,2.986384361390394e-07,3.930070079150028e-06,3.949485679705893e-06
1919,3.916561062007011e-06,3.0690401737436854e-07,3.827708756684192e-06,3.916561062007011e-06
1920,3.843925437000248e-06,3.0426643807654076e-07,3.7073235229659725e-06,3.843925437000248e-06
1921,3.7165233542119883e-06,3.4222364726182217e-07,3.518523921489499e-06,3.7165233542119883e-06
1922,3.565648382521301e-06,3.6715050555358175e-07,3.3894777646180174e-06,3.565648382521301e-06
1923,3.5193366524513943e-06,3.674416534847426e-07,3.2062926688273104e-06,3.5193366524513943e-06
1924,3.5243032081260547e-06,3.660007255997958e-07,3.093381240302863e-06,3.5243032081260547e-06
1925,3.563621898397936e-06,3.6585937225806576e-07,2.932514202517008e-06,3.563621898397936e-06
1926,3.6476073026798465e-06,3.6227542312060124e-07,2.8318470737888546e-06,3.6476073026798465e-06
1927,3.691900279331354e-06,3.591371466882265e-07,2.7307564453492106e-06,3.691900279331354e-06
1928,3.7095290800997257e-06,3.2077672277150017e-07,2.6679168253654747e-06,3.7095290800997257e-06
1929,3.7815111681993585e-06,3.0164479117697087e-07,2.899678390479364e-06,3.7815111681993585e-06
1930,3.8503244468302e-06,2.9369285568593894e-07,2.883629317044064e-06,3.8503244468302e-06
1931,3.9432640213427864e-06,2.962489174608761e-07,2.827195917883988e-06,3.9432640213427864e-06
1932,3.974374262075539e-06,2.9561002585459004e-07,2.760793482333871e-06,3.974374262075539e-06
1933,3.988078203422317e-06,2.995470863100179e-07,2.6692480007893338e-06,3.988078203422317e-06
1934,4.007436603257832e-06,3.081328746442783e-07,2.6865633831870843e-06,4.007436603257832e-06
1935,4.0153913037751665e-06,3.0983400733930466e-07,2.6766966649509934e-06,4.0153913037751665e-06
1936,4.0163351643838856e-06,3.039550863702191e-07,2.4777933893866636e-06,4.0163351643838856e-06
1937,4.056555878508204e-06,3.171320120795177e-07,2.4281221807801297e-06,4.056555878508204e-06
1938,4.030156040763748e-06,3.053162954204579e-07,2.4868131406817284e-06,4.030156040763748e-06
1939,4.161276072928948e-06,3.0224937371973025e-07,2.572375803668235e-06,4.161276072928948e-06
1940,4.256910480242888e-06,2.9485529142090983e-07,2.6426951730432587e-06,4.256910480242888e-06
1941,4.3841770483205825e-06,2.8411059815880435e-07,2.6467924141927923e-06,4.3841770483205825e-06
1942,4.462668195109083e-06,2.8378228275219695e-07,5.091034446585192e-06,4.462668195109083e-06
1943,4.527083352253872e-06,2.8626739581990736e-07,4.983815058169837e-06,4.527083352253872e-06
1944,4.513698838439138e-06,2.750832907492752e-07,4.9980525156050656e-06,4.513698838439138e-06
1945,4.471689148236432e-06,2.7855490105009396e-07,4.898780844087014e-06,4.471689148236432e-06
1946,4.318181416757787e-06,2.726706692815891e-07,4.875887465719383e-06,4.318181416757787e-06
1947,4.129437034602493e-06,2.6968821690128865e-07,4.8419653921882855e-06,4.129437034602493e-06
1948,3.972864760726225e-06,2.6632742690578327e-07,4.832081685890444e-06,3.972864760726225e-06
1949,3.881708737805768e-06,2.6298334887542296e-07,2.4163084292792647e-06,3.881708737805768e-06
1950,3.7570199050865734e-06,2.6092376158106033e-07,2.424306525686656e-06,3.7570199050865734e-06
1951,3.680582202442955e-06,2.5715334572851134e-07,2.581708486104617e-06,3.680582202442955e-06
1952,3.6417495721252635e-06,2.532791946967856e-07,2.5684276222039315e-06,3.6417495721252635e-06
1953,3.62160825976129e-06,2.5276380759870723e-07,2.5323569973677096e-06,3.62160825976129e-06
1954,3.5976745493826456e-06,2.498877539177816e-07,2.4911138163068765e-06,3.5976745493826456e-06
1955,3.5563715365632172e-06,2.503211971673279e-07,2.707001125859928e-06,3.5563715365632172e-06
1956,3.4547101677162573e-06,2.4704857943496403e-07,2.756769487989784e-06,3.4547101677162573e-06
1957,3.41455175397901e-06,2.4472275786787835e-07,2.7029078799906917e-06,3.41455175397901e-06
1958,3.380529668512671e-06,2.4415720645265537e-07,2.5247156177751355e-06,3.380529668512671e-06
1959,3.3191962692009317e-06,2.5052974755063975e-07,2.528450717623595e-06,3.3191962692009317e-06
1960,3.2684477641201478e-06,2.5608462855026506e-07,2.509959683395989e-06,3.2684477641201478e-06
1961,3.193949039216802e-06,2.616998894414532e-07,2.51947046438415e-06,3.193949039216802e-06
1962,3.1177862963107017e-06,2.623929974885998e-07,2.397550718212317e-06,3.1177862963107017e-06
1963,3.101084920282509e-06,2.6945091998901003e-07,2.3251444807621217e-06,3.101084920282509e-06
1964,3.0476730249314902e-06,2.75450836235385e-07,2.576290301346619e-06,3.0476730249314902e-06
1965,3.0344052187761657e-06,2.86521323492447e-07,2.6406456916967206e-06,3.0344052187761657e-06
1966,3.0138014283563408e-06,2.907136108985599e-07,2.658826458303208e-06,3.0138014283563408e-06
1967,3.021034834611263e-06,2.99663842692358e-07,2.7087650258701094e-06,3.021034834611263e-06
1968,3.0467490107964423e-06,3.1809174824307516e-07,2.7620819439887e-06,3.0467490107964423e-06
1969,3.102593609582982e-06,3.3311430261814425e-07,2.669692906108269e-06,3.102593609582982e-06
1970,3.125813886331993e-06,3.387143822562523e-07,2.683274065670308e-06,3.125813886331993e-06
1971,3.1650091776620163e-06,3.4109291391359875e-07,2.56591403870386e-06,3.1650091776620163e-06
1972,3.1503062538312018e-06,3.384408963873804e-07,2.5698009592036086e-06,3.1503062538312018e-06
1973,3.2051363112779133e-06,3.354631051674265e-07,2.7656897470608655e-06,3.2051363112779133e-06
1974,3.191684624783063e-06,3.2422582307845005e-07,2.9016076885974532e-06,3.191684624783063e-06
1975,3.243107227847629e-06,3.0697982619390783e-07,3.0251785249544938e-06,3.243107227847629e-06
1976,3.2781132566534713e-06,2.9813279362705156e-07,3.0799671679103213e-06,3.2781132566534713e-06
1977,3.3290948197515846e-06,3.1652445337775656e-07,3.1621952335366847e-06,3.3290948197515846e-06
1978,3.4036641604221326e-06,3.1958846388338967e-07,3.3572220802722896e-06,3.4036641604221326e-06
1979,3.507650100280963e-06,3.236493577268058e-07,3.6330147850094363e-06,3.507650100280963e-06
