ngram,understanding,understadning,understading,uderstanding
2009,0.00011695417612957369,9.032166185609012e-11,1.0899249201580729e-09,4.0606490987154283e-10
2010,0.00011856521450681612,5.724435558510496e-11,1.0247573028238882e-09,3.611178875769941e-10
2011,0.00011894658902227613,5.684020664856579e-11,9.464268257985964e-10,3.512215538245148e-10
2012,0.00012028862381287451,4.19344256739697e-11,9.109910762258469e-10,3.4276942197296126e-10
2013,0.00012265981682243625,4.254777631408833e-11,9.216578135605249e-10,2.917125995126137e-10
2014,0.00012320933352124745,5.276786497833617e-11,9.442083464301326e-10,3.0644279475078307e-10
2015,0.00012331297849803896,5.276786497833617e-11,9.57861528189901e-10,3.4000396446711076e-10
2016,0.00012377416299256896,6.324596402151883e-11,8.921919948866121e-10,3.1743449832985094e-10
2017,0.00012323395882655555,6.423453377997952e-11,8.641708182377528e-10,2.843684257976727e-10
2018,0.00012396316014928743,7.05820846214067e-11,9.135172174268291e-10,2.6324984275793996e-10
2019,0.00012370452350296546,8.822760577675837e-11,9.08277758560061e-10,2.9168330077655735e-10
