ngram,muscle,musle,mscle,mscle
1941,1.7808517701009157e-05,1.5323359644650987e-09,3.460172842695286e-10,3.460172842695286e-10
1942,1.7537854416462195e-05,1.5565073753696724e-09,8.192701497370233e-10,8.192701497370233e-10
1943,1.746101406752132e-05,1.7562939118904402e-09,7.773952850501484e-10,7.773952850501484e-10
1944,1.7002712931051584e-05,1.978623447624577e-09,7.290393526966049e-10,7.290393526966049e-10
1945,1.7109910134292606e-05,2.1936700313394753e-09,6.765863583676638e-10,6.765863583676638e-10
1946,1.6747800795461183e-05,2.698027880475097e-09,6.019042803855663e-10,6.019042803855663e-10
1947,1.712449998844282e-05,2.9571926970664973e-09,5.76111018018339e-10,5.76111018018339e-10
1948,1.696036893658207e-05,2.8524069931431686e-09,5.656324476260061e-10,5.656324476260061e-10
1949,1.7437685268565213e-05,2.8663208631992833e-09,1.0938574450986799e-10,1.0938574450986799e-10
1950,1.7986367830807077e-05,2.665067309694434e-09,1.9398561923456015e-10,1.9398561923456015e-10
1951,1.8323389927640426e-05,2.5007791234646757e-09,2.081124935081137e-10,2.081124935081137e-10
1952,1.8619676796203877e-05,2.3925310462960934e-09,1.9885608041178163e-10,1.9885608041178163e-10
1953,1.91157640594091e-05,2.140244759196719e-09,2.459237912517358e-10,2.459237912517358e-10
1954,1.9249932717814643e-05,2.0456713941844183e-09,2.749557030469672e-10,2.749557030469672e-10
1955,1.9894971046596766e-05,2.497924200817181e-09,2.723499550882913e-10,2.723499550882913e-10
1956,2.0632411958233986e-05,2.569602039085136e-09,3.226838231142258e-10,3.226838231142258e-10
1957,2.1497506168088876e-05,2.719425367431987e-09,2.5082767410708074e-10,2.5082767410708074e-10
1958,2.204330875039367e-05,2.9327521681007542e-09,2.4153309312919495e-10,2.4153309312919495e-10
1959,2.2904085718827056e-05,2.85061764669438e-09,2.50950940583472e-10,2.50950940583472e-10
1960,2.348221642023418e-05,2.7387724786466704e-09,2.46234673524042e-10,2.46234673524042e-10
1961,2.4255441011129214e-05,2.8358775010823526e-09,2.9599174500294367e-10,2.9599174500294367e-10
1962,2.471177763904312e-05,2.5186773619115652e-09,3.5290978175498266e-10,3.5290978175498266e-10
