ngram,patient,patint,patiant,patent
1958,8.048193766236571e-05,7.424651072523198e-10,1.1765413187354262e-09,2.7754882726834955e-05
1959,7.966775696591608e-05,7.318089963380205e-10,1.1571051834944969e-09,2.6959426967161043e-05
1960,7.963113187413131e-05,7.321941069322285e-10,1.7609983550746578e-09,2.6645926482160576e-05
1961,7.96965541667305e-05,6.353172075725309e-10,1.7796259624677395e-09,2.6457938864561064e-05
1962,7.856086449464783e-05,6.417842646211369e-10,2.032551944213574e-09,2.5940145600803328e-05
1963,7.745699674290205e-05,5.431554809095676e-10,1.9755255605983078e-09,2.486624647904786e-05
1964,7.732239776357477e-05,4.187031832358912e-10,1.8375640770911567e-09,2.407575110347742e-05
1965,7.707602552337838e-05,4.032695526718604e-10,1.785089718899156e-09,2.327113231461096e-05
1966,7.746479345119692e-05,3.882643452777858e-10,1.7562897089032754e-09,2.2407426513382234e-05
1967,7.806657647181834e-05,4.626369089409467e-10,1.2006201747080274e-09,2.205057431378269e-05
1968,7.779051312744352e-05,5.88287950100051e-10,1.088244811724743e-09,2.1441056430506122e-05
1969,7.904086669441313e-05,5.017744196335525e-10,9.417291073938421e-10,2.045511791948229e-05
1970,7.978966251747417e-05,4.522551381011145e-10,9.498880729604968e-10,2.0337761920278092e-05
1971,8.126607904809393e-05,4.430497794035862e-10,1.020943948429728e-09,1.9984733756116058e-05
1972,8.362750460426989e-05,4.337561500454358e-10,1.0536919115011756e-09,1.958423256707777e-05
1973,8.59663008928432e-05,4.552845917731625e-10,1.1489682459421756e-09,2.0122745939131293e-05
1974,8.805231482256204e-05,3.898859608180467e-10,1.3219387330819033e-09,2.04206051941063e-05
1975,8.993655085630183e-05,2.953442133714544e-10,1.4493416625579618e-09,2.0529634119676693e-05
1976,9.085274255734735e-05,4.2820172011356506e-10,1.4149725042449696e-09,2.118250319784108e-05
1977,9.247440071443893e-05,5.164922378675385e-10,1.4329592909082374e-09,2.1464347550396008e-05
1978,9.21409040789253e-05,4.962175214379932e-10,1.432668745542693e-09,2.21955085310453e-05
1979,9.312895625563604e-05,5.427127497403816e-10,1.4938954200666948e-09,2.2739921665301415e-05
