ngram,price,prce,prcie,priice
1889,0.00011010205655890916,1.2497882728723653e-08,4.439214908367818e-10,2.7633968526151266e-11
1890,0.00011144207071213583,1.1049921802960431e-08,4.945128711281959e-10,2.7633968526151266e-11
1891,0.00011372620273115379,1.1444755302189184e-08,4.492843993667403e-10,5.653400386718133e-10
1892,0.00011357961297367833,1.1593787961418554e-08,4.942275636362784e-10,5.878116208065823e-10
1893,0.00011422793405862259,1.1846782158439088e-08,4.390503318050877e-10,5.878116208065823e-10
1894,0.00011566523296226348,1.2005734628672826e-08,4.832338775160951e-10,5.601776522804311e-10
1895,0.00011664870232509981,1.1495340489022153e-08,3.42388034590968e-10,5.601776522804311e-10
1896,0.00011589596916954699,1.0691531406235657e-08,2.958457328323354e-10,5.795580781160175e-10
1897,0.00011583510474468182,1.0844900469716582e-08,3.5671488382175e-10,5.795580781160175e-10
1898,0.00011571346320644287,1.0024849775699555e-08,2.798997264122757e-10,5.989017615171122e-11
1899,0.00011628269567154348,8.921618110946383e-09,2.531704687161859e-10,5.563250059039047e-11
1900,0.00011713246619495164,8.230795473756253e-09,2.531704687161859e-10,5.563250059039047e-11
1901,0.00011775260957490121,7.376240951373347e-09,2.0898692300517852e-10,7.276918750116173e-11
1902,0.00011998188503119829,7.0001799912233764e-09,2.0503400564665852e-10,7.276918750116173e-11
1903,0.00012339275001847585,6.7040440500574866e-09,2.2658845434873698e-10,8.526705135609397e-11
1904,0.00012604827497852966,6.778469214501521e-09,1.309816630157279e-10,1.0112079130391344e-10
1905,0.00012954677575700252,6.638693341086212e-09,1.7672224893778525e-10,1.4407007234032828e-10
1906,0.00013618189301009158,6.571205103865298e-09,1.7402332848557934e-10,1.2585616576687997e-10
1907,0.00013863621487481787,6.384564940223722e-09,2.3262402421009298e-10,1.8445686149139362e-10
1908,0.0001423742193894993,5.970551925876017e-09,3.012462908093459e-10,2.0849353691922345e-10
1909,0.0001456631372483181,5.423258921309428e-09,3.253710287309808e-10,2.3605555506321455e-10
1910,0.0001503663308020415,5.251840137380068e-09,2.45675302522143e-10,2.4549893368197573e-10
1911,0.00015398585154408856,4.6359048980601105e-09,2.5777742638867704e-10,2.576010575485098e-10
1912,0.0001569204032421112,3.978048810994648e-09,2.5527916288784324e-10,1.966136083307392e-10
1913,0.0001593179372970813,4.129230100703905e-09,3.1125376879056633e-10,2.1091152733029465e-10
1914,0.00016631314481076385,4.7562570390117085e-09,3.6958498959651006e-10,1.669273211720882e-10
1915,0.00017314746842852661,4.905929567351157e-09,3.169014455612589e-10,1.576314039614906e-10
1916,0.00018099380083315606,4.94044100867492e-09,4.110251821438331e-10,1.9027683595407296e-10
1917,0.00018814152904919216,4.905258358231127e-09,5.925797313161801e-10,2.3274957556511973e-10
1918,0.0001969860292904611,4.950513396043529e-09,7.659472064539382e-10,2.623146680028451e-10
1919,0.00020244853346542056,5.585396431076869e-09,8.363508576168601e-10,2.907261613988814e-10
1920,0.0002015765806260918,5.416292144947274e-09,8.344662302420655e-10,3.4603320704849697e-10
