ngram,angle,angl,anglee,anggle
1588,3.5275902519060764e-06,0.0,0.0,0.0
1589,3.5275902519060764e-06,0.0,0.0,0.0
1590,3.5275902519060764e-06,0.0,0.0,0.0
1591,3.794123715904009e-06,0.0,0.0,0.0
1592,3.6362231574977547e-06,0.0,0.0,0.0
1593,3.587159491352005e-06,0.0,0.0,0.0
1594,3.543893918893965e-06,0.0,0.0,0.0
1595,3.7759822849433737e-06,0.0,0.0,0.0
1596,3.7759822849433737e-06,0.0,0.0,0.0
1597,4.018106470279495e-06,0.0,0.0,0.0
1598,6.538309727537646e-06,0.0,0.0,0.0
1599,6.059249082162361e-06,0.0,0.0,0.0
1600,5.4959249869820525e-06,0.0,0.0,0.0
1601,4.350196182453406e-06,1.953238617196413e-07,0.0,0.0
1602,3.55300271946492e-06,1.953238617196413e-07,0.0,0.0
1603,3.55300271946492e-06,1.953238617196413e-07,0.0,0.0
1604,3.310878534128798e-06,1.953238617196413e-07,0.0,0.0
1605,8.614524793821537e-07,1.953238617196413e-07,0.0,0.0
1606,2.985784362863342e-06,1.953238617196413e-07,0.0,0.0
1607,2.8792782781498057e-06,1.953238617196413e-07,0.0,0.0
1608,3.4826648028943704e-06,0.0,0.0,0.0
1609,3.566938062249392e-06,0.0,0.0,0.0
1610,5.351213742090165e-06,0.0,0.0,0.0
