ngram,SAP,SAP,SP,SP
1958,2.483895603485767e-07,2.483895603485767e-07,2.627470913856606e-06,2.627470913856606e-06
1959,2.863443932759375e-07,2.863443932759375e-07,2.9448206078086514e-06,2.9448206078086514e-06
1960,3.1977253505439354e-07,3.1977253505439354e-07,3.1844668098658857e-06,3.1844668098658857e-06
1961,3.069393496194347e-07,3.069393496194347e-07,3.261851523867725e-06,3.261851523867725e-06
1962,3.4826975690650996e-07,3.4826975690650996e-07,3.3709965074584554e-06,3.3709965074584554e-06
1963,3.7218198859331355e-07,3.7218198859331355e-07,3.5630388798121463e-06,3.5630388798121463e-06
1964,3.890747198706127e-07,3.890747198706127e-07,3.854392714077091e-06,3.854392714077091e-06
1965,3.999271882548783e-07,3.999271882548783e-07,4.087317133131105e-06,4.087317133131105e-06
1966,3.9413488041515977e-07,3.9413488041515977e-07,3.9753524885912024e-06,3.9753524885912024e-06
1967,3.941192525352173e-07,3.941192525352173e-07,4.084532487727951e-06,4.084532487727951e-06
1968,3.707470089661261e-07,3.707470089661261e-07,4.26258241402268e-06,4.26258241402268e-06
1969,3.4564231603846043e-07,3.4564231603846043e-07,4.419176743145467e-06,4.419176743145467e-06
1970,3.2545400634782187e-07,3.2545400634782187e-07,4.601139478056991e-06,4.601139478056991e-06
1971,3.242764543236782e-07,3.242764543236782e-07,4.739846904807824e-06,4.739846904807824e-06
1972,3.1385132664191975e-07,3.1385132664191975e-07,4.944470739636537e-06,4.944470739636537e-06
1973,3.205792324934009e-07,3.205792324934009e-07,5.213667139157353e-06,5.213667139157353e-06
1974,3.343448895520851e-07,3.343448895520851e-07,5.40483253124486e-06,5.40483253124486e-06
1975,3.4581693902120083e-07,3.4581693902120083e-07,5.683964835563009e-06,5.683964835563009e-06
1976,3.762855150008753e-07,3.762855150008753e-07,5.919004576883578e-06,5.919004576883578e-06
1977,4.129412169666986e-07,4.129412169666986e-07,6.114062281475137e-06,6.114062281475137e-06
1978,4.5978258965208495e-07,4.5978258965208495e-07,6.335461486222422e-06,6.335461486222422e-06
1979,5.08249058839283e-07,5.08249058839283e-07,6.506710048727525e-06,6.506710048727525e-06
1980,5.506392507673549e-07,5.506392507673549e-07,6.681033807711044e-06,6.681033807711044e-06
1981,5.823459941568996e-07,5.823459941568996e-07,6.848293846165429e-06,6.848293846165429e-06
1982,6.416443544107356e-07,6.416443544107356e-07,7.0405385486083105e-06,7.0405385486083105e-06
1983,6.906111756117233e-07,6.906111756117233e-07,7.369119560150596e-06,7.369119560150596e-06
1984,7.461246777243755e-07,7.461246777243755e-07,7.618675746406163e-06,7.618675746406163e-06
1985,8.05486950282232e-07,8.05486950282232e-07,8.016588513523207e-06,8.016588513523207e-06
1986,8.901823045042485e-07,8.901823045042485e-07,8.214349301332341e-06,8.214349301332341e-06
1987,9.682048585091252e-07,9.682048585091252e-07,8.35883253915069e-06,8.35883253915069e-06
1988,1.0705961293362115e-06,1.0705961293362115e-06,8.780645917535626e-06,8.780645917535626e-06
1989,1.179260932206359e-06,1.179260932206359e-06,9.03558676717304e-06,9.03558676717304e-06
1990,1.2921553483075904e-06,1.2921553483075904e-06,9.001313758614873e-06,9.001313758614873e-06
