ngram,Block,Blck,Blok,Blck
1999,1.1165819030013933e-05,2.831463079872825e-09,3.390898695800258e-07,2.831463079872825e-09
2000,1.0949804163828958e-05,2.779598123099041e-09,3.297404305158125e-07,2.779598123099041e-09
2001,1.0854386865893112e-05,2.449056005612452e-09,3.2853904891843353e-07,2.449056005612452e-09
2002,1.061531708858508e-05,2.278257455705963e-09,3.0152706033602173e-07,2.278257455705963e-09
2003,1.0259005518621831e-05,2.2169846593454524e-09,3.1394953176849025e-07,2.2169846593454524e-09
2004,9.925532270114803e-06,1.7137958116134451e-09,3.1122340260480996e-07,1.7137958116134451e-09
2005,9.531926350194095e-06,1.4508988772326298e-09,3.1313573702261367e-07,1.4508988772326298e-09
2006,9.14291799095476e-06,9.44600473237348e-10,3.140627029551979e-07,9.44600473237348e-10
2007,8.81875640906011e-06,6.808349836287927e-10,3.077782062226626e-07,6.808349836287927e-10
2008,9.709083380065359e-06,5.553888380939651e-10,2.944794873980884e-07,5.553888380939651e-10
2009,1.0015724715880684e-05,4.077563683527582e-10,2.785355783479255e-07,4.077563683527582e-10
2010,9.710689807564319e-06,3.7541716560848416e-10,2.72475923728572e-07,3.7541716560848416e-10
2011,9.170363487750624e-06,4.959121050315421e-10,2.5664931513347256e-07,4.959121050315421e-10
2012,8.754420897665633e-06,4.3043570295355135e-10,2.3873718443415524e-07,4.3043570295355135e-10
2013,8.447182543542503e-06,4.693240201231979e-10,2.395711788949484e-07,4.693240201231979e-10
2014,8.047239199575934e-06,4.838828028739885e-10,2.405294594609586e-07,4.838828028739885e-10
2015,6.310760194797435e-06,5.607497521875615e-10,2.514813165329802e-07,5.607497521875615e-10
2016,5.422603862825781e-06,5.651821669402527e-10,2.591572691049545e-07,5.651821669402527e-10
2017,5.260611942503601e-06,6.068408599698335e-10,2.5024645111670907e-07,6.068408599698335e-10
2018,5.1814499784086365e-06,4.747341464383936e-10,2.565420771816207e-07,4.747341464383936e-10
2019,5.072558110441605e-06,4.906254222336592e-10,2.6616032045012616e-07,4.906254222336592e-10
